state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
31582,5661.298805,6,e,3,2,0,1
31583,5684.076265,6,e,4,0,0,1
31588,6032.826112,6,e,1,0,2,1
31594,6489.47807,6,e,4,2,0,4
31595,6578.386889,6,e,3,4,0,3
31596,6604.633821,6,e,5,0,0,4
31597,6686.963193,6,e,4,2,0,3
31600,6741.597181,6,e,5,0,0,3
31601,6753.148387,6,e,2,3,1,3
31602,6814.865554,6,e,3,4,0,2
31603,6840.122491,6,e,1,5,1,2
31606,6920.323325,6,e,5,0,0,2
31607,6961.058501,6,e,2,3,1,2
31608,6971.536389,6,e,2,6,0,1
31610,7061.723788,6,e,3,4,0,1
31611,7080.95385,6,e,1,5,1,1
31612,7118.592071,6,e,4,2,0,1
31615,7170.867711,6,e,2,3,1,1
31618,7261.570099,6,e,0,4,2,1
31637,8028.233239,6,e,2,5,1,3
31639,8117.202912,6,e,5,2,0,3
31640,8154.786472,6,e,6,0,0,3
31644,8272.78276,6,e,4,4,0,2
31645,8274.702481,6,e,2,5,1,2
31647,8350.461559,6,e,3,0,2,4
31648,8361.893589,6,e,6,0,0,2
31649,8376.66073,6,e,2,2,2,3
31652,8446.533619,6,e,1,4,2,2
31655,8523.689027,6,e,2,5,1,1
31665,8665.48365,6,e,1,4,2,1
31681,9135.063736,6,e,4,3,1,5
31688,9362.782386,6,e,4,3,1,4
31697,9580.807745,6,e,4,3,1,3
31703,9715.068971,6,e,4,0,2,4
31708,9803.484948,6,e,4,3,1,2
31711,9849.425983,6,e,4,0,2,3
31712,9854.031547,6,e,5,1,1,2
31720,9985.365917,6,e,4,0,2,2
31729,10079.761815,6,e,5,1,1,1
31733,10142.68642,6,e,0,5,3,1
31735,10166.371318,6,e,4,0,2,1
31748,10498.370492,6,e,0,2,4,1
31757,10694.631957,6,e,6,1,1,5
31765,10871.764948,6,e,6,1,1,4
31784,11173.465335,6,e,3,1,3,4
31798,11350.309744,6,e,3,1,3,3
31802,11422.829689,6,e,2,3,3,2
31811,11506.712512,6,e,3,1,3,2
31813,11521.985146,6,e,6,1,1,1
31822,11626.589874,6,e,2,3,3,1
31825,11678.309561,6,e,3,1,3,1
31832,11765.287129,6,e,2,0,4,2
31837,11876.521738,6,e,2,0,4,1
31850,12117.346846,6,e,0,1,5,1
31894,12693.217701,6,e,4,1,3,3
32060,14415.749917,6,e,2,1,5,3
32080,14575.470283,6,e,2,1,5,2
32095,14722.017781,6,e,2,1,5,1
32205,15722.18445,6,e,3,1,5,3
32232,15877.191181,6,e,3,1,5,2
37404,3197.939755,6,f,2,1,0,3
37407,3357.060119,6,f,0,5,0,1
37411,4432.659435,6,f,3,1,0,4
37412,4483.644481,6,f,2,3,0,3
37413,4574.142737,6,f,1,5,0,2
37414,4607.553087,6,f,3,1,0,3
37415,4693.261611,6,f,2,3,0,2
37417,4817.891329,6,f,1,5,0,1
37419,4906.550261,6,f,2,3,0,1
37420,4954.854707,6,f,3,1,0,1
37421,4987.312428,6,f,0,4,1,1
37424,5655.063085,6,f,4,1,0,5
37425,5700.173994,6,f,3,3,0,4
37426,5782.943732,6,f,2,5,0,3
37427,5847.257551,6,f,4,1,0,4
37428,5919.194589,6,f,3,3,0,3
37429,6016.944975,6,f,4,1,0,3
37430,6031.978887,6,f,2,5,0,2
37432,6134.95996,6,f,3,3,0,2
37433,6193.099701,6,f,1,4,1,2
37434,6195.480065,6,f,4,1,0,2
37435,6284.812354,6,f,2,5,0,1
37436,6300.483468,6,f,0,6,1,1
37438,6363.181719,6,f,3,3,0,1
37439,6404.568391,6,f,4,1,0,1
37440,6414.41433,6,f,1,4,1,1
37443,6617.943967,6,f,0,3,2,1
37453,7356.888779,6,f,4,3,0,3
37454,7389.452422,6,f,2,4,1,3
37456,7488.425976,6,f,1,6,1,2
37459,7583.492567,6,f,4,3,0,2
37460,7617.691633,6,f,2,4,1,2
37461,7633.091894,6,f,5,1,0,2
37463,7746.824164,6,f,1,6,1,1
37468,7848.251975,6,f,2,4,1,1
37470,7905.581388,6,f,0,5,2,1
37485,8577.09686,6,f,3,4,1,4
37487,8668.997251,6,f,2,6,1,3
37491,8813.044905,6,f,3,4,1,3
37494,8931.94625,6,f,2,6,1,2
37495,8951.513876,6,f,3,1,2,4
37497,8997.777476,6,f,2,3,2,3
37499,9046.37674,6,f,3,4,1,2
37503,9127.502414,6,f,3,1,2,3
37504,9197.758892,6,f,2,6,1,1
37505,9204.237978,6,f,2,3,2,2
37508,9285.658881,6,f,3,1,2,2
37509,9288.716532,6,f,3,4,1,1
37516,9410.884029,6,f,2,3,2,1
37518,9461.334997,6,f,3,1,2,1
37537,10129.148549,6,f,5,2,1,4
37546,10330.14918,6,f,5,2,1,3
37560,10608.417771,6,f,2,2,3,3
37563,10675.1702,6,f,1,4,3,2
37571,10786.445007,6,f,5,2,1,1
37572,10792.170276,6,f,2,2,3,2
37578,10892.007857,6,f,1,4,3,1
37581,10971.798361,6,f,2,2,3,1
37584,11059.604106,6,f,1,1,4,2
37590,11199.875554,6,f,1,1,4,1
37627,11966.556415,6,f,3,2,3,3
37639,12151.843448,6,f,3,2,3,2
37676,12723.006726,6,f,0,2,5,1
37761,13866.81669,6,f,1,2,5,2
37773,14035.575476,6,f,1,2,5,1
42212,3843.98177,7,f,2,2,0,3
42213,3920.337961,7,f,1,4,0,2
42215,4031.76119,7,f,0,6,0,1
42221,5069.258143,7,f,3,2,0,4
42222,5137.558226,7,f,2,4,0,3
42223,5240.269582,7,f,1,6,0,2
